,S&P 500 COMPOSITE - PRICE INDEX,cmdty BLS Commodity Price Ind 'DEAD' - PRICE INDEX,Gold Bullion LBM $/t oz DELAY,Crude Oil-WTI Spot Cushing U$/BBL,US INITIAL CLAIMS FOR UNEMPLOYMENT INSURANCE (BCI 5) VOLA,US NAHB MARKET SURVEY: NEW SINGLE FAMILY HOME SALES-CURRENTLY,US CONSUMER CONFIDENCE INDEX SADJ,US CONSUMER CONFIDENCE INDEX - EXPECTATIONS SADJ,US CONSUMER CONFIDENCE INDEX - PRESENT SITUATION SADJ,US CONSUMER CONFIDENCE CURRENTLY - JOBS PLENTIFUL SADJ,US CONSUMER CONFIDENCE CURRENTLY - JOBS HARD TO FIND SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY AUTO SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - INCOME DECREASED SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - INCOME INCREASED SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - JOBS FEWER SADJ,US CONSUMER CONFIDENCE CURRENTLY - JOBS NOT SO PLENTIFUL SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - JOBS MORE SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY ANY HOME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY HOME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY LIVED IN HOME,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY MAJOR APPL( SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY NEW AUTO SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY NEW HOME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY USED AUTO SADJ,US CONSUMER CONFIDENCE CURRENTLY - BUSINESS CONDITIONS BAD SADJ,US CONSUMER CONFIDENCE CURRENTLY - BUSINESS CONDITIONS GOOD SADJ,US CONSUMER CONFIDENCE CURRENTLY-BUSINESS CONDITIONS NORMAL SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - INCOME SAME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-BUSINESS CONDITIONS BETTER,US CONSUMER CONFIDENCE IN 6 MONTHS-BUSINESS CONDITIONS SAME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-BUSINESS CONDITIONS WORSE,US CONSUMER CONFIDENCE IN 6 MONTHS - JOBS SAME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY AIR CONDITIONER,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY AUTO UNCERTAIN,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY CARPET SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY CLOTHES DRYER,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY RANGE SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY REFRIGERATOR,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY TV SET SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY VACUUM CLEANER,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY WASHING MACHINE,US NATIONAL ASSOCIATION OF HOME BUILDERS HOUSING MARKET INDEX,US NAHB MARKET SURVEY: NEW SINGLE FAMILY HOME SALES-IN NEXT 6 MO,US NAHB MARKET SURVEY: TRAFFIC OF PROSPECTIVE NEW HOME BUYERS,US ISM PURCHASING MANAGERS INDEX (MFG SURVEY) SADJ,US ISM MANUFACTURERS SURVEY: NEW ORDERS INDEX SADJ,US ISM MANUFACTURERS SURVEY RESULTS: PRICES PAID - SAME VOLN,US ISM MANUFACTURERS SURVEY: PRODUCTION INDEX SADJ,US ISM MANUFACTURERS SURVEY: EMPLOYMENT INDEX SADJ
1999-04-15,1335.18,223.37,286.55,18.68,305.0,78.0,135.5,108.8,175.5,47.8,12.7,9.0,5.3,23.5,11.3,39.5,15.7,1.1,4.2,1.7,32.4,5.1,1.4,3.1,9.1,43.3,47.6,71.2,16.6,77.2,6.2,73.0,2.0,0.8,6.2,4.2,4.3,4.5,7.1,6.4,3.9,71.0,79.0,51.0,52.3,54.0,66.0,57.2,48.8
1999-05-15,1301.84,224.49,269.95,16.83,303.0,81.0,137.7,111.3,177.2,47.6,12.5,10.1,5.2,26.2,11.6,39.9,16.3,1.2,4.0,1.6,32.1,4.8,1.2,3.9,8.3,44.3,47.4,68.6,17.1,77.5,5.4,72.1,2.1,1.4,6.8,3.9,3.4,4.4,8.4,5.8,4.1,75.0,83.0,57.0,54.3,57.8,67.0,58.5,51.1
1999-06-15,1372.71,222.64,261.15,19.28,290.0,85.0,139.0,114.9,175.0,47.3,12.3,8.3,5.5,26.3,10.3,40.4,18.4,1.0,3.9,1.9,28.4,4.5,1.0,3.3,9.3,40.7,50.0,68.2,18.1,76.3,5.6,71.3,2.0,0.5,5.5,3.8,2.7,4.1,6.8,5.4,3.6,77.0,83.0,57.0,55.8,59.4,67.0,61.6,51.3
1999-07-15,1328.72,224.38,255.8,20.53,300.8,82.0,136.2,107.6,179.2,49.4,11.5,10.5,6.1,23.7,11.8,39.1,16.1,1.3,4.4,2.2,32.5,4.3,0.9,4.6,8.8,45.1,46.1,70.2,16.9,76.8,6.3,72.1,3.2,1.6,7.7,3.0,3.9,4.7,8.0,5.5,4.2,75.0,81.0,57.0,53.6,54.6,65.0,58.1,50.4
1999-08-15,1320.41,226.41,255.15,22.13,290.8,79.0,136.0,109.2,176.3,49.4,12.7,10.1,4.9,26.6,13.1,37.9,17.7,1.1,4.9,2.6,33.0,5.1,1.2,3.9,9.4,44.6,46.0,68.5,17.5,75.7,6.8,69.2,3.4,1.1,6.3,3.6,3.3,4.2,7.9,6.6,4.0,72.0,79.0,52.0,54.8,57.5,62.0,58.3,53.1
1999-09-15,1282.71,233.6,301.0,24.53,294.3,79.0,134.2,106.2,176.3,47.5,12.7,8.8,5.5,26.8,13.2,39.8,16.0,1.2,4.3,2.3,30.0,4.2,0.8,3.1,8.4,43.2,48.4,67.7,16.4,76.8,6.8,70.8,3.2,1.5,6.3,3.0,3.0,5.0,7.3,5.0,3.5,72.0,80.0,54.0,57.0,63.5,52.0,59.9,51.3
1999-10-15,1362.93,231.71,300.5,21.75,285.8,76.0,130.5,101.5,173.9,47.6,13.3,9.5,6.5,24.1,14.6,39.1,15.9,1.6,4.3,1.7,30.9,4.8,1.0,3.4,9.7,43.8,46.5,69.4,16.1,76.4,7.5,69.5,2.0,1.3,5.3,3.1,3.7,5.0,7.6,5.5,4.0,69.0,79.0,52.0,57.2,61.3,51.0,59.7,53.0
1999-11-15,1388.91,229.94,291.7,24.58,281.8,77.0,137.0,110.4,176.8,48.1,11.8,7.7,5.2,28.3,12.4,40.1,16.8,0.5,3.5,1.9,28.2,3.4,1.1,3.0,9.1,41.3,49.6,66.5,17.0,77.3,5.7,70.8,2.5,1.3,4.9,3.2,3.1,4.1,6.8,5.4,3.1,70.0,80.0,49.0,58.1,63.1,61.0,60.2,53.1
1999-12-15,1469.25,227.25,291.0,25.6,278.3,77.0,141.7,115.0,181.7,51.8,11.8,8.6,5.0,29.8,10.6,36.4,16.5,1.2,3.9,1.8,30.6,3.8,0.9,3.9,7.5,46.0,46.5,65.2,17.5,77.7,4.8,72.9,1.9,0.9,6.6,3.5,2.8,4.4,8.2,6.0,3.8,70.0,79.0,51.0,57.8,60.3,59.0,60.6,55.7
2000-01-15,1394.46,225.03,283.05,27.63,289.0,77.0,144.7,119.1,183.1,55.2,11.2,9.8,4.7,26.6,9.7,33.6,16.5,1.1,3.9,1.7,29.0,4.2,1.1,4.2,8.3,47.3,44.4,68.7,20.0,76.5,3.5,73.8,2.3,1.4,7.0,3.7,3.1,4.4,6.6,5.1,3.8,69.0,77.0,47.0,56.7,60.4,53.0,57.8,52.8
2000-02-15,1366.42,220.68,293.75,30.43,293.8,76.0,140.8,114.6,180.1,51.2,11.4,9.8,5.1,25.8,9.5,37.4,15.1,1.0,4.3,1.9,30.2,4.0,1.4,4.3,8.8,45.6,45.6,69.1,17.1,78.4,4.5,75.4,2.3,1.5,5.9,3.7,3.1,4.3,6.9,6.0,3.9,68.0,75.0,46.0,55.8,58.7,49.0,59.1,53.6
2000-03-15,1498.58,228.01,277.45,26.9,269.8,70.0,137.1,106.8,182.5,53.3,10.6,8.5,5.3,26.3,11.7,36.1,15.7,1.2,4.0,1.4,31.6,4.4,1.4,3.4,8.7,45.7,45.6,68.4,14.8,78.4,6.8,72.6,2.1,0.7,6.3,4.5,3.0,4.4,7.7,5.8,4.1,64.0,71.0,46.0,54.9,56.2,38.0,59.5,51.2
2000-04-15,1452.43,227.37,275.25,25.73,273.0,70.0,137.7,109.7,179.8,52.4,12.1,8.3,5.8,24.6,11.7,35.5,16.5,0.6,3.2,1.7,29.7,4.3,0.9,3.0,8.4,44.5,47.1,69.6,15.5,79.2,5.3,71.8,2.5,1.0,5.5,3.6,3.8,4.4,7.3,5.0,3.1,63.0,72.0,45.0,54.7,55.4,44.0,58.1,53.2
2000-05-15,1420.6,234.16,272.65,29.03,282.3,70.0,144.7,118.7,183.6,53.0,11.0,10.1,5.0,27.6,10.1,36.0,19.6,0.9,3.8,1.9,32.6,4.3,1.0,4.1,7.2,45.0,47.8,67.4,18.6,76.7,4.7,70.3,2.5,1.7,6.8,4.0,3.4,4.4,7.9,6.4,4.0,63.0,67.0,45.0,53.2,51.5,59.0,56.4,53.0
2000-06-15,1454.6,224.93,289.0,32.5,288.8,64.0,139.2,111.9,180.1,53.7,11.2,8.4,5.4,25.4,11.6,35.1,18.2,1.1,3.6,1.6,31.9,4.5,0.9,3.1,9.4,43.7,46.9,69.2,18.3,75.4,6.3,70.2,2.5,0.8,5.8,4.4,2.9,4.7,8.4,5.1,3.9,58.0,62.0,43.0,51.4,50.0,60.0,53.4,50.7
2000-07-15,1430.83,217.97,277.25,27.43,298.5,66.0,143.0,113.7,186.8,55.8,9.6,7.3,5.1,26.4,10.2,34.6,17.6,1.5,3.6,1.6,27.4,2.9,0.5,3.2,7.3,45.4,47.3,68.5,17.2,76.7,6.1,72.2,2.0,1.2,5.3,3.3,2.6,3.4,6.9,5.4,3.8,59.0,66.0,42.0,52.5,52.0,60.0,53.7,52.5
2000-08-15,1517.68,219.79,277.0,33.13,311.5,66.0,140.8,113.9,181.3,53.5,11.5,9.1,5.0,28.6,11.0,35.0,17.1,1.1,4.1,1.7,31.9,4.0,1.3,4.0,8.6,46.2,45.2,66.4,17.2,77.4,5.4,71.9,1.8,1.1,6.4,3.4,3.1,4.8,8.4,6.5,3.9,60.0,69.0,44.0,49.9,50.0,66.0,49.7,48.8
2000-09-15,1436.51,223.95,273.35,30.83,300.0,66.0,142.5,115.9,182.5,52.5,10.6,7.8,4.8,28.1,10.9,36.9,18.7,0.9,2.9,0.9,27.8,3.7,1.1,2.9,8.8,47.9,43.3,67.1,19.0,75.4,5.6,70.4,1.9,1.2,5.8,2.6,3.1,4.0,6.6,5.9,3.7,60.0,70.0,44.0,49.7,48.9,63.0,51.5,50.6
2000-10-15,1429.4,220.75,264.45,32.68,301.0,68.0,135.8,108.4,176.8,50.0,12.0,9.3,5.3,24.6,12.8,38.0,18.6,1.0,3.6,1.4,26.6,4.3,1.2,3.5,9.7,43.4,46.9,70.1,16.9,75.9,7.2,68.6,1.6,1.5,5.9,2.9,3.0,3.7,6.9,4.9,3.6,62.0,71.0,45.0,48.7,48.4,60.0,49.3,48.2
2000-11-15,1314.95,225.33,268.55,33.83,336.0,69.0,132.6,101.2,179.7,50.6,11.1,7.2,5.6,28.7,13.6,38.3,14.7,0.8,3.2,1.2,27.6,3.0,1.2,2.9,8.8,43.1,48.1,65.7,14.7,77.0,8.3,71.7,2.3,1.3,5.3,3.6,3.5,4.2,6.2,4.8,3.0,63.0,69.0,47.0,48.5,49.1,65.0,50.1,47.1
2000-12-15,1320.28,223.99,272.95,26.83,348.0,63.0,128.6,96.9,176.1,50.8,12.4,8.3,6.0,28.3,15.7,36.8,14.0,0.9,3.3,1.4,29.8,4.2,1.0,3.0,9.5,40.8,49.7,65.7,16.9,73.0,10.1,70.3,1.8,1.1,5.9,3.7,3.3,4.9,7.2,5.1,3.8,57.0,62.0,40.0,43.9,42.1,61.0,42.9,42.7
2001-01-15,1366.01,224.82,265.2,28.68,340.0,58.0,115.7,79.3,170.4,49.0,12.8,7.8,6.8,24.1,21.5,38.2,11.7,1.2,3.3,1.2,28.1,3.3,0.9,3.3,10.7,34.5,54.8,69.1,13.1,71.7,15.2,66.8,1.8,1.2,6.2,3.4,2.9,4.1,6.7,5.2,4.0,52.0,60.0,35.0,42.3,38.4,54.0,39.2,42.3
2001-02-15,1239.94,225.41,266.2,27.38,373.3,62.0,109.2,70.7,167.1,43.3,12.4,9.0,7.5,23.9,26.5,44.3,10.8,1.2,4.0,1.6,28.3,4.1,1.2,3.8,10.6,31.6,57.8,68.6,11.3,71.1,17.6,62.7,1.9,1.1,5.4,3.2,2.8,4.3,7.6,4.7,3.8,58.0,65.0,43.0,42.1,39.9,57.0,38.6,37.8
2001-03-15,1160.33,224.72,258.85,26.28,388.0,67.0,116.9,83.1,167.5,43.8,12.6,7.9,7.0,23.4,20.4,43.6,12.2,1.1,4.2,1.9,28.9,3.8,1.2,3.1,10.8,33.0,56.2,69.6,15.1,71.2,13.7,67.4,1.7,1.0,5.7,3.6,2.7,4.0,7.3,5.7,3.9,60.0,67.0,43.0,43.1,41.5,56.0,42.6,39.9
2001-04-15,1249.46,228.13,263.85,28.48,396.8,64.0,109.9,79.1,156.0,40.1,14.2,7.7,7.7,22.7,22.9,45.7,12.3,1.1,3.6,1.4,29.8,3.7,1.1,2.8,13.2,28.2,58.6,69.6,14.1,71.4,14.5,64.8,2.3,1.2,6.4,3.7,3.4,4.3,7.6,4.8,3.7,59.0,64.0,44.0,42.7,45.5,63.0,43.1,38.2
2001-05-15,1255.82,229.89,267.25,28.38,400.8,63.0,116.1,87.1,159.6,39.3,14.3,9.5,7.6,24.9,19.9,46.4,14.1,1.2,3.6,1.4,30.9,4.2,1.0,3.8,11.5,30.7,57.8,67.5,16.8,69.7,13.5,66.0,2.2,1.5,5.7,3.6,3.1,4.6,7.0,6.2,4.2,58.0,66.0,42.0,41.3,44.9,65.0,43.1,35.1
2001-06-15,1224.42,233.78,271.2,26.23,395.0,64.0,118.9,93.5,156.8,38.3,13.9,6.7,7.1,24.4,18.1,47.8,15.6,1.0,3.4,1.5,27.7,3.4,0.9,2.8,12.6,28.9,58.5,68.5,17.1,72.0,10.9,66.3,1.8,0.5,5.6,3.5,3.3,4.2,7.0,4.5,3.4,59.0,67.0,43.0,43.2,47.8,61.0,45.3,35.7
2001-07-15,1211.23,239.1,265.95,26.33,398.0,63.0,116.3,92.9,151.3,35.6,14.1,9.4,7.5,22.1,16.4,50.3,15.0,1.1,3.8,1.7,31.3,4.3,1.0,3.9,14.6,28.5,56.9,70.4,17.2,71.6,11.2,68.6,2.1,1.2,5.8,4.0,3.6,4.2,7.5,5.5,4.4,57.0,66.0,42.0,43.5,49.2,65.0,47.0,37.2
2001-08-15,1133.58,234.0,273.1,27.23,398.3,65.0,114.0,93.7,144.5,33.6,16.0,8.1,8.3,23.2,17.7,50.4,15.7,1.1,3.9,1.7,31.5,3.8,1.1,3.5,15.5,27.7,56.8,68.5,19.1,70.2,10.7,66.6,2.5,0.8,5.3,3.9,3.2,4.7,7.3,6.1,3.8,59.0,69.0,44.0,46.3,54.3,60.0,51.8,41.3
2001-09-15,1040.94,218.65,293.25,23.43,443.3,61.0,97.0,78.1,125.4,27.1,18.8,7.3,9.3,21.1,22.5,54.1,12.9,1.1,3.6,1.4,29.4,2.8,1.1,2.8,18.3,22.3,59.4,69.6,15.7,68.5,15.8,64.6,2.0,1.7,5.3,2.8,2.8,4.7,7.5,5.7,3.9,55.0,60.0,39.0,46.2,51.3,64.0,51.8,41.5
2001-10-15,1059.78,205.62,280.5,21.18,480.8,51.0,85.3,70.7,107.2,20.9,20.6,8.8,10.9,18.0,29.0,58.5,13.9,1.0,3.5,1.3,26.8,4.5,1.2,2.9,20.7,18.6,60.7,71.1,17.6,62.1,20.3,57.1,1.4,1.4,5.7,3.3,3.3,4.1,6.8,3.9,4.0,46.0,55.0,30.0,40.8,38.9,56.0,41.8,35.6
2001-11-15,1139.45,217.2,274.95,19.48,453.8,50.0,84.9,77.3,96.2,17.5,22.7,7.1,10.3,22.0,26.3,59.8,14.4,0.7,3.3,1.3,29.4,3.3,1.3,2.6,20.7,16.8,62.5,67.7,17.7,65.4,16.9,59.3,2.2,1.2,4.5,3.4,2.8,4.1,7.7,5.5,3.7,48.0,54.0,40.0,44.1,49.1,55.0,46.9,36.4
2001-12-15,1148.08,212.1,276.8,19.78,404.8,59.0,94.6,92.4,97.8,17.9,21.9,8.0,9.1,21.5,19.3,60.2,16.5,0.9,4.1,2.2,26.9,3.6,1.0,3.5,21.7,17.3,61.0,69.4,22.2,66.2,11.6,64.2,1.2,0.9,5.3,2.8,3.2,4.2,6.7,5.3,3.5,55.0,64.0,42.0,45.3,51.4,58.0,49.2,39.1
2002-01-15,1130.2,212.32,281.95,19.48,410.3,61.0,97.8,97.6,98.1,18.4,22.5,7.6,9.6,20.1,18.0,59.1,18.9,1.4,4.0,1.6,27.7,3.0,1.0,3.4,22.4,18.2,59.4,70.3,24.9,65.3,9.8,63.1,1.6,1.2,6.2,2.8,3.2,5.2,7.4,4.5,3.0,58.0,66.0,47.0,47.5,55.2,69.0,51.1,41.0
2002-02-15,1106.73,215.88,296.8,21.73,396.0,62.0,95.0,94.0,96.4,18.2,22.6,8.1,9.2,20.5,19.5,59.2,18.3,1.0,3.9,1.8,28.5,3.2,1.1,3.4,22.8,17.6,59.6,70.3,22.3,66.6,11.1,62.2,1.6,1.5,4.5,3.3,2.7,4.8,6.8,5.0,4.3,58.0,68.0,46.0,50.7,60.7,65.0,58.1,43.8
2002-03-15,1147.39,219.64,302.5,26.33,421.3,67.0,110.7,110.2,111.5,20.6,21.1,7.0,8.6,22.7,13.5,58.3,20.7,1.2,3.5,1.3,29.9,2.6,1.0,3.2,18.3,21.0,60.7,68.7,25.4,68.4,6.2,65.8,1.8,1.2,6.9,4.1,3.6,4.8,6.3,5.4,3.9,62.0,71.0,48.0,52.4,63.8,66.0,58.3,46.6
2002-04-15,1076.92,212.94,307.7,27.28,429.3,66.0,108.5,109.6,106.8,20.9,22.7,7.8,8.1,21.1,14.8,56.4,22.2,0.7,3.9,1.8,31.3,4.3,1.4,2.5,19.4,19.7,60.9,70.8,26.0,67.6,6.4,63.0,2.5,1.0,6.4,3.6,3.2,5.2,7.2,5.6,4.0,61.0,71.0,47.0,52.4,59.9,53.0,59.1,46.6
2002-05-15,1067.14,221.95,325.3,25.33,401.3,67.0,110.3,109.7,111.2,21.2,21.8,7.9,7.8,21.1,13.6,57.0,21.2,1.0,3.6,1.5,27.6,3.8,1.1,2.7,18.5,21.2,60.3,71.1,24.9,68.3,6.8,65.2,2.2,1.4,5.7,3.0,3.1,4.7,6.6,4.7,3.3,61.0,69.0,45.0,53.1,61.8,54.0,59.4,47.3
2002-06-15,989.81,232.95,317.75,26.88,389.5,66.0,106.3,107.2,104.9,20.1,23.2,7.8,8.0,20.9,14.3,56.7,20.4,1.1,3.4,1.5,29.6,3.9,0.8,3.0,19.5,19.9,60.6,71.1,23.7,69.2,7.1,65.3,2.0,0.9,5.8,3.8,3.1,4.4,7.7,4.8,3.8,61.0,68.0,45.0,53.6,61.2,53.0,61.1,48.3
2002-07-15,911.62,234.1,304.85,27.03,386.0,66.0,97.4,96.1,99.4,18.8,23.9,8.3,9.6,20.1,17.0,57.3,17.3,1.0,3.8,1.9,28.0,3.3,0.9,3.8,22.1,20.2,57.7,70.3,20.8,70.0,9.2,65.7,2.9,1.2,5.5,3.0,3.3,3.7,7.4,4.3,3.4,61.0,69.0,46.0,50.2,51.9,53.0,56.6,45.0
2002-08-15,916.07,233.22,313.2,28.98,395.0,59.0,94.5,95.5,93.1,17.4,23.8,7.4,10.1,22.1,17.8,58.8,17.4,0.9,4.5,1.9,31.3,4.1,1.7,2.3,21.8,16.7,61.5,67.8,22.2,67.8,10.0,64.8,3.0,1.0,5.2,3.4,3.3,4.8,7.3,5.8,3.7,55.0,66.0,41.0,50.3,50.6,58.0,54.9,46.8
2002-09-15,815.28,237.21,323.6,30.45,409.5,69.0,93.7,97.2,88.5,15.9,25.4,7.2,8.9,21.5,16.8,58.7,17.3,1.0,3.3,1.4,26.2,2.7,0.9,3.0,23.8,18.5,57.7,69.6,21.6,68.7,9.7,65.9,2.5,1.5,5.7,2.9,2.7,4.2,6.6,3.8,3.5,63.0,70.0,48.0,50.5,52.9,66.0,53.5,45.8
2002-10-15,885.76,236.36,316.95,27.23,407.8,67.0,79.6,81.1,77.2,14.7,27.3,6.9,11.3,17.9,22.1,58.0,15.3,0.9,3.1,1.4,28.3,3.1,0.8,2.8,27.7,15.6,56.7,70.8,19.3,66.4,14.3,62.6,2.0,1.0,5.3,3.2,2.9,4.4,7.5,4.3,4.0,61.0,66.0,46.0,49.0,52.1,65.0,51.3,46.4
2002-11-15,936.31,241.33,318.95,26.88,389.0,67.0,84.9,89.3,78.3,14.2,27.3,6.8,9.9,19.4,18.8,58.5,15.4,0.8,3.1,1.5,28.6,2.8,0.8,2.4,25.7,16.1,58.2,70.7,20.3,68.4,11.3,65.8,2.8,1.6,5.2,3.4,3.0,3.9,6.7,5.4,3.4,62.0,66.0,49.0,48.5,49.9,70.0,52.7,44.8
2002-12-15,879.82,244.31,343.25,31.23,414.3,69.0,80.7,88.1,69.6,12.3,29.7,7.7,10.7,19.6,20.2,58.0,15.4,0.8,3.2,1.4,28.4,3.3,1.0,3.4,25.9,14.5,59.6,69.7,21.1,67.9,11.0,64.4,1.7,1.0,5.2,3.4,3.0,4.5,7.5,4.8,3.5,63.0,68.0,48.0,51.6,58.7,66.0,53.9,47.5
2003-01-15,855.7,250.14,368.0,33.53,400.0,68.0,78.8,81.1,75.3,14.5,28.9,6.8,10.2,18.4,21.2,56.6,14.2,0.7,3.6,1.7,28.2,3.0,1.2,3.0,26.7,15.0,58.3,71.4,17.7,68.3,14.0,64.6,2.0,0.8,5.6,3.1,3.3,5.8,6.3,4.3,3.4,62.0,67.0,45.0,51.3,58.2,61.0,54.1,47.4
2003-02-15,841.15,250.13,349.75,36.63,416.8,70.0,64.8,65.7,63.5,11.4,30.0,6.9,12.2,16.0,28.5,58.6,12.4,1.1,3.8,1.7,27.5,2.8,1.0,3.0,29.6,13.6,56.8,71.8,14.9,66.0,19.1,59.1,1.9,1.1,5.0,3.5,2.7,4.1,6.1,5.3,3.9,63.0,67.0,44.0,48.8,51.9,51.0,53.6,42.6
2003-03-15,848.18,248.06,336.0,31.03,425.3,63.0,61.4,61.4,61.4,11.4,32.3,6.6,13.4,15.8,26.5,56.3,10.8,1.0,3.2,1.3,28.2,3.0,0.9,2.8,30.0,13.6,56.4,70.8,13.0,67.0,20.0,62.7,1.8,0.8,6.1,3.2,3.1,5.3,6.7,5.1,3.0,56.0,63.0,39.0,46.3,47.2,46.0,47.0,42.2
2003-04-15,916.92,247.57,338.25,25.83,439.0,59.0,81.0,84.8,75.2,13.0,29.4,6.0,10.7,17.2,20.9,57.6,16.4,0.7,3.4,1.4,29.7,2.8,1.3,2.1,23.9,16.2,59.9,72.1,18.9,68.8,12.3,62.7,2.2,1.1,5.6,4.1,3.1,4.7,7.0,4.9,3.7,55.0,63.0,42.0,46.1,47.2,53.0,48.5,41.8
2003-05-15,963.59,250.48,363.75,29.58,423.0,66.0,83.6,94.5,67.3,12.3,32.9,7.7,9.7,17.1,17.8,54.8,17.9,1.0,3.8,1.7,31.6,3.7,1.1,2.5,28.4,16.1,55.5,73.2,22.8,67.6,9.6,64.3,2.0,1.5,5.5,3.6,3.8,5.9,7.3,5.1,3.9,60.0,69.0,44.0,49.0,53.4,61.0,52.9,42.4
2003-06-15,974.5,249.06,347.7,30.18,421.8,68.0,83.5,96.4,64.2,11.2,31.9,5.9,10.4,17.1,16.9,56.9,18.9,0.6,3.0,1.5,27.8,2.7,0.9,2.3,28.1,14.9,57.0,72.5,23.5,67.3,9.2,64.2,2.0,0.9,4.9,3.7,3.4,3.8,7.2,4.4,3.3,63.0,71.0,48.0,49.0,53.6,61.0,54.1,45.6
2003-07-15,990.31,251.14,354.7,30.53,403.5,71.0,77.0,86.3,63.0,10.7,32.7,8.7,11.3,15.9,19.6,56.6,16.6,0.9,3.5,1.7,29.3,3.4,0.9,4.0,30.2,16.5,53.3,72.8,20.0,68.6,11.4,63.8,2.5,1.3,6.3,3.3,3.1,4.0,6.8,5.5,4.1,65.0,73.0,50.0,51.0,56.8,64.0,53.9,46.3
2003-08-15,1008.01,254.18,376.5,31.78,400.0,73.0,81.7,94.9,62.0,11.3,34.1,6.6,9.5,20.7,18.6,54.6,18.0,1.3,4.1,1.5,32.5,2.7,1.3,3.2,31.0,15.9,53.1,69.8,22.6,66.8,10.6,63.4,2.6,0.7,5.6,3.8,3.5,4.9,7.4,5.6,4.7,67.0,77.0,51.0,53.2,61.1,68.0,61.8,47.1
2003-09-15,995.97,268.11,385.25,29.23,395.5,73.0,77.0,88.5,59.7,9.9,35.1,5.4,9.7,19.0,21.1,55.0,16.6,0.7,3.1,1.2,26.6,2.1,1.2,2.2,29.5,16.2,54.3,71.3,21.3,66.8,11.9,62.3,1.9,1.1,4.8,2.8,2.5,5.0,6.3,5.0,3.1,67.0,78.0,50.0,52.4,60.8,70.0,57.8,46.5
2003-10-15,1050.71,279.4,387.25,29.13,376.3,75.0,81.7,91.5,67.0,11.8,33.7,6.6,10.8,16.9,20.4,54.5,19.6,1.0,3.2,1.2,26.7,3.0,1.0,2.7,28.1,17.1,54.8,72.3,23.5,65.5,11.0,60.0,1.4,0.9,5.0,3.0,3.1,4.4,7.0,4.6,3.2,69.0,79.0,51.0,55.2,64.4,65.0,62.8,48.6
2003-11-15,1058.2,276.29,398.0,30.33,363.0,75.0,92.5,100.1,81.0,13.5,29.6,5.8,9.6,20.2,18.0,56.9,18.5,0.5,3.0,2.0,29.0,2.2,0.5,2.8,23.6,19.9,56.5,70.2,24.5,68.3,7.2,63.5,2.0,0.8,5.3,3.5,3.6,4.3,7.2,4.7,3.7,68.0,79.0,48.0,58.4,69.1,62.0,66.6,50.4
2003-12-15,1111.92,283.58,417.25,32.55,358.3,76.0,94.8,107.4,76.0,13.0,31.4,6.2,9.6,21.7,15.1,55.6,21.2,0.9,3.2,1.5,27.5,2.8,0.8,2.7,23.7,18.1,58.2,68.7,28.0,65.2,6.8,63.7,2.0,0.7,5.4,3.2,3.1,4.4,7.0,4.7,3.1,69.0,76.0,51.0,60.1,71.3,58.0,70.0,54.1
2004-01-15,1131.13,291.28,401.25,33.15,361.3,75.0,97.7,105.3,86.1,14.9,29.7,6.7,8.6,18.2,15.2,55.4,20.0,0.9,3.5,1.6,28.3,2.5,1.0,3.1,23.1,21.8,55.1,73.2,27.0,66.1,6.9,64.8,2.0,1.1,5.8,3.3,3.0,4.9,6.5,4.9,3.7,68.0,76.0,50.0,60.8,70.6,43.0,69.3,54.7
